2026-08-06 07:57:34,495 | INFO     | OpenSDNLab has started.
2026-08-06 07:57:34,497 | WARNING  | Warning message
2026-08-06 07:57:34,498 | ERROR    | Error message
2026-08-06 07:57:34,499 | CRITICAL | Critical message
2026-08-06 08:01:03,182 | INFO     | Configuration loaded.
2026-08-06 08:01:03,185 | INFO     | Configuration updated: network.protocol = dual
2026-08-06 08:01:03,190 | INFO     | Configuration saved.
2026-08-06 08:02:43,174 | INFO     | Configuration loaded.
2026-08-06 08:02:43,190 | INFO     | Database connected: database/opensdnlab.db
2026-08-06 08:09:12,427 | INFO     | Configuration loaded.
2026-08-06 08:09:12,439 | INFO     | Database connected: database/opensdnlab.db
2026-08-06 08:29:21,081 | INFO     | Configuration loaded.
2026-08-06 08:29:21,094 | INFO     | Database connected: database/opensdnlab.db
2026-08-06 08:58:09,222 | INFO     | Configuration loaded.
2026-08-06 08:58:09,235 | INFO     | Database connected: database/opensdnlab.db
2026-08-06 09:06:13,384 | INFO     | Creating linear topology
2026-08-06 09:06:13,387 | INFO     | Topology created successfully
2026-08-06 09:09:10,649 | INFO     | Creating topology: linear
2026-08-06 09:09:10,652 | INFO     | Topology created successfully.
2026-08-06 09:14:09,471 | INFO     | Creating experiment: IPv6 Lab
2026-08-06 09:14:09,475 | INFO     | Creating topology: linear
2026-08-06 09:14:09,477 | INFO     | Topology created successfully.
2026-08-06 09:14:09,478 | INFO     | Experiment created successfully.
2026-08-06 09:17:14,791 | INFO     | Creating experiment: IPv6 Lab
2026-08-06 09:17:14,794 | INFO     | Creating topology: linear
2026-08-06 09:17:14,795 | INFO     | Topology created successfully.
2026-08-06 09:17:14,797 | INFO     | Experiment created successfully.
2026-08-06 09:18:28,657 | INFO     | Creating experiment: IPv6 SDN Experiment
2026-08-06 09:18:28,660 | INFO     | Creating topology: linear
2026-08-06 09:18:28,662 | INFO     | Topology created successfully.
2026-08-06 09:18:28,663 | INFO     | Experiment created successfully.
2026-08-06 09:19:55,781 | INFO     | Creating experiment: IPv6 Lab
2026-08-06 09:19:55,784 | INFO     | Creating topology: linear
2026-08-06 09:19:55,785 | INFO     | Topology created successfully.
2026-08-06 09:19:55,787 | INFO     | Experiment created successfully.
2026-08-06 09:19:55,797 | INFO     | Assigning addresses
2026-08-06 09:19:55,799 | INFO     | Address assignment complete
2026-08-06 09:21:31,932 | INFO     | Creating experiment: Validation Demo
2026-08-06 09:21:31,935 | INFO     | Creating topology: linear
2026-08-06 09:21:31,936 | INFO     | Topology created successfully.
2026-08-06 09:21:31,938 | INFO     | Experiment created successfully.
2026-08-06 09:21:31,940 | INFO     | Assigning addresses
2026-08-06 09:21:31,941 | INFO     | Address assignment complete
2026-08-06 09:21:31,942 | INFO     | Validating network blueprint
2026-08-06 09:21:31,944 | INFO     | Blueprint validation successful
2026-08-06 09:23:08,979 | INFO     | Creating experiment: Deployment Demo
2026-08-06 09:23:08,982 | INFO     | Creating topology: linear
2026-08-06 09:23:08,983 | INFO     | Topology created successfully.
2026-08-06 09:23:08,985 | INFO     | Experiment created successfully.
2026-08-06 09:23:08,986 | INFO     | Assigning addresses
2026-08-06 09:23:08,987 | INFO     | Address assignment complete
2026-08-06 09:23:08,989 | INFO     | Preparing Mininet deployment
2026-08-06 09:27:08,258 | INFO     | Creating experiment: Blueprint Adapter Demo
