Experiment,Protocol,Controller,Bandwidth,Delay,Loss,Minimum RTT,Average RTT,Maximum RTT,Jitter,Packet Loss,Throughput
Delay Analysis,ipv4,osken,100,1ms,0.0,5.904,31.288,104.953,42.533,0.0,71.2
Delay Analysis,ipv4,osken,100,5ms,0.0,21.129,32.252,62.413,17.43,0.0,74.3
Delay Analysis,ipv4,osken,100,10ms,0.0,41.181,62.83,126.411,36.71,0.0,93.0
Delay Analysis,ipv4,osken,100,20ms,0.0,80.802,108.394,184.464,43.94,0.0,49.3
Delay Analysis,ipv4,osken,100,50ms,0.0,203.434,259.316,421.905,93.879,0.0,7.33
